material;season;brand;style;name;characteristics;composition;gender;department;category;type;site;noimages;comment;status
ABYBP00137-BLK;253;billabong;ABYBP00137;Command 29L - Large Backpack for Men;"__Fabric:__ Recycled polyester fabric
Compartment: Large main compartment, padded laptop compartment, reinforced padded back panel and internal organization
__Pockets:__ Front zippered pocket, padded tablet sleeve pocket in main compartment, dual side mesh water bottle pockets
__Straps:__ Padded air mesh shoulder straps
__Dimensions:__ 20"" [H] x 13.25"" [W] x 10"" [D] / 50.8 [H] x 33.65 [W] x 25.4 [D] cm
__Volume:__ 29 L capacity
";100% Recycled Polyester;Men;Accessories;Bags;Backpack;C/O;false;;
ABYBP00137-GRH;253;billabong;ABYBP00137;Command 29L - Large Backpack for Men;"__Fabric:__ Recycled polyester fabric
Compartment: Large main compartment, padded laptop compartment, reinforced padded back panel and internal organization
__Pockets:__ Front zippered pocket, padded tablet sleeve pocket in main compartment, dual side mesh water bottle pockets
__Straps:__ Padded air mesh shoulder straps
__Dimensions:__ 20"" [H] x 13.25"" [W] x 10"" [D] / 50.8 [H] x 33.65 [W] x 25.4 [D] cm
__Volume:__ 29 L capacity
";100% Recycled Polyester;Men;Accessories;Bags;Backpack;C/O;false;;
ABYBP00139-BMR0;253;billabong;ABYBP00139;Command Stash - Backpack With Large Main Compartment for Men;"Padded laptop compartment
Reinforced padded back panel
Vertical front zippered pocket
Padded air mesh shoulder straps
Padded tablet sleeve pocket in main compartment
Skate straps
Side mesh water bottle pocket
Adjustable sternum strap
__Volume:__ 26 litres
__Dimensions:__ 45 cm[H] X 33.5 cm[W] X 18 cm[D]";[Main Fabric] 100% Recycled Polyester;Men;Accessories;Bags;Backpack;NEW;false;;
ABYBP00139-GJK0;253;billabong;ABYBP00139;Command Stash - Backpack With Large Main Compartment for Men;"Padded laptop compartment
Reinforced padded back panel
Vertical front zippered pocket
Padded air mesh shoulder straps
Padded tablet sleeve pocket in main compartment
Skate straps
Side mesh water bottle pocket
Adjustable sternum strap
__Volume:__ 26 litres
__Dimensions:__ 45 cm[H] X 33.5 cm[W] X 18 cm[D]";[Main Fabric] 100% Recycled Polyester;Men;Accessories;Bags;Backpack;NEW;false;;
ABYBP00139-GRH;253;billabong;ABYBP00139;Command Stash - Backpack With Large Main Compartment for Men;"Padded laptop compartment
Reinforced padded back panel
Vertical front zippered pocket
Padded air mesh shoulder straps
Padded tablet sleeve pocket in main compartment
Skate straps
Side mesh water bottle pocket
Adjustable sternum strap
__Volume:__ 26 litres
__Dimensions:__ 45 cm[H] X 33.5 cm[W] X 18 cm[D]";[Main Fabric] 100% Recycled Polyester;Men;Accessories;Bags;Backpack;C/O;false;;
ABYBP00139-RAV;253;billabong;ABYBP00139;Command Stash - Backpack With Large Main Compartment for Men;"Padded laptop compartment
Reinforced padded back panel
Vertical front zippered pocket
Padded air mesh shoulder straps
Padded tablet sleeve pocket in main compartment
Skate straps
Side mesh water bottle pocket
Adjustable sternum strap
__Volume:__ 26 litres
__Dimensions:__ 45 cm[H] X 33.5 cm[W] X 18 cm[D]";[Main Fabric] 100% Recycled Polyester;Men;Accessories;Bags;Backpack;NEW;false;;
ABYBP00158-STH;253;billabong;ABYBP00158;Combat - Large Backpack for Men;"__Fabric:__ 100% Recycled polyester fabric
__Technology:__ Recycler 4-way stretch performance fabric made from recycled PET plastic bottles
__Compartments:__ Large main compartment
Padded laptop compartment
Stationary stash pockets
Tricot lined sunglasses and audio pocket
Internal mesh zip pockets
Side pockets
__Straps:__ Adjustable straps
__Reinforcement:__ Reinforced mesh padded back panel
__Volume:__ 35 L capacity
__Dimensions:__ 20.47"" [H] x 13.38"" [W] x 8.66"" [D] / 52 [H] x 34 [W] x 22 [D] cm";[Main Fabric] 100% Recycled Polyester;Men;Accessories;Bags;Backpack;C/O;false;;
EBYBP03001-BLK;253;billabong;EBYBP03001;Storm Dry - Backpack With Roll-Top Main Wet/Dry Compartment for Men;"__Fabric:__ PVC
__Details:__ Welded seams
Dual buckle closure
Front flap pocket
Side mesh water bottle pocket
Side non-waterproof flap pocket
Airmesh padded shoulder straps with sternum
Screen print logo
__Size:__ Closed 38cm[H] x 33cm[W] x 18cm[D]
__Volume:__ 22 Liters";[Main Fabric] 89% Polyvinylchloride, 11% Polyester;Men;Accessories;Bags;Backpack;C/O;false;;
EBYBP03001-SIL;253;billabong;EBYBP03001;Storm Dry - Backpack With Roll-Top Main Wet/Dry Compartment for Men;"__Fabric:__ PVC
__Details:__ Welded seams
Dual buckle closure
Front flap pocket
Side mesh water bottle pocket
Side non-waterproof flap pocket
Airmesh padded shoulder straps with sternum
Screen print logo
__Size:__ Closed 38cm[H] x 33cm[W] x 18cm[D]
__Volume:__ 22 Liters";[Main Fabric] 89% Polyvinylchloride, 11% Polyester;Men;Accessories;Bags;Backpack;NEW;false;;
EBYBP03003-BMR0;253;billabong;EBYBP03003;Norfolk - Large Backpack for Men;"__Fabric:__ 600D recycled polyester
__Details:__ Large main compartment with padded laptop sleeve
Two front stash pockets
Adjustable straps with suregrip base
Padded back
__Size:__ 48cm x 30cm x 18cm
__Volume:__ 27L";[Main Fabric] 100% Recycled Polyester;Men;Accessories;Bags;Backpack;NEW;false;;
EBYBP03003-GRH;253;billabong;EBYBP03003;Norfolk - Large Backpack for Men;"__Fabric:__ 600D recycled polyester
__Details:__ Large main compartment with padded laptop sleeve
Two front stash pockets
Adjustable straps with suregrip base
Padded back
__Size:__ 48cm x 30cm x 18cm
__Volume:__ 27L";[Main Fabric] 100% Recycled Polyester;Men;Accessories;Bags;Backpack;NEW;false;;
EBYBP03003-RAV;253;billabong;EBYBP03003;Norfolk - Large Backpack for Men;"__Fabric:__ 600D recycled polyester
__Details:__ Large main compartment with padded laptop sleeve
Two front stash pockets
Adjustable straps with suregrip base
Padded back
__Size:__ 48cm x 30cm x 18cm
__Volume:__ 27L";[Main Fabric] 100% Recycled Polyester;Men;Accessories;Bags;Backpack;NEW;false;;
EBYBA00106-BLK;253;billabong;EBYBA00106;Bali 2L - Waist Pack With Main Zip Compartment for Men;"__Fabric:__ 600D polyester
__Details:__ Zip front sleeve pocket
Adjustable webbing strap
Woven label detail
__Size:__ 11 in[W] x 6.5 in[H] x 2.75 in[D]
__Volume:__ 3 Liters";[Main Fabric] 100% Recycled Polyester;Men;Accessories;Bags;Waist Pack;NEW;false;;
EBYBA00106-BMR0;253;billabong;EBYBA00106;Bali 2L - Waist Pack With Main Zip Compartment for Men;"__Fabric:__ 600D polyester
__Details:__ Zip front sleeve pocket
Adjustable webbing strap
Woven label detail
__Size:__ 11 in[W] x 6.5 in[H] x 2.75 in[D]
__Volume:__ 3 Liters";[Main Fabric] 100% Recycled Polyester;Men;Accessories;Bags;Waist Pack;NEW;false;;
EBYBA00106-GRH;253;billabong;EBYBA00106;Bali 2L - Waist Pack With Main Zip Compartment for Men;"__Fabric:__ 600D polyester
__Details:__ Zip front sleeve pocket
Adjustable webbing strap
Woven label detail
__Size:__ 11 in[W] x 6.5 in[H] x 2.75 in[D]
__Volume:__ 3 Liters";[Main Fabric] 100% Recycled Polyester;Men;Accessories;Bags;Waist Pack;NEW;false;;
EBYBA00107-GJK0;253;billabong;EBYBA00107;Cache - Waist Pack With Front Zip Main Pocket for Men;"__Fabric:__ 300D polyester
__Details:__ Billabong logo screenprint on Black colour
Print with woven logo label on Bermuda colour
__Size:__ 23 cm[W] x 13 cm[H] x 3.5 cm[D]
__Volume:__ 1 Liter";[Main Fabric] 100% Polyester;Men;Accessories;Bags;Waist Pack;NEW;false;;
EBYBA00107-RAV;253;billabong;EBYBA00107;Cache - Waist Pack With Front Zip Main Pocket for Men;"__Fabric:__ 300D polyester
__Details:__ Billabong logo screenprint on Black colour
Print with woven logo label on Bermuda colour
__Size:__ 23 cm[W] x 13 cm[H] x 3.5 cm[D]
__Volume:__ 1 Liter";[Main Fabric] 100% Polyester;Men;Accessories;Bags;Waist Pack;NEW;false;;
EBYBA00108-KHA;253;billabong;EBYBA00108;Cord - Corduroy Waist Pack for Men;"__Fabric:__ Corduroy
__Details:__ Front zip main pocket
Adjustable cotton webbing strap
Billabong logo embroidery on centre front
__Size:__ 23 cm[W] x 13.5 cm[H] x 3.5 cm[D]
__Volume:__ 1 Liter";[Main Fabric] 100% Cotton;Men;Accessories;Bags;Waist Pack;NEW;false;;
EBYBA00109-MUL;253;billabong;EBYBA00109;Stash - Printed Recycled Polyester Fleece Waist Pack for Men;"__Fabric:__ Recycled polyester and recycled nylon
__Details:__ Front zip main pocket
Adjustable cotton webbing strap
Silicon badge on centre front
__Size:__ 9 in[W] x 5.25 in[H] x 1.5 in[D]
__Volume:__ 1 Liter";[Main Fabric] 70% Recycled Polyester, 30% Polyester;Men;Accessories;Bags;Waist Pack;NEW;false;;
